Temperature (C)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.30000	55.350	0.018067	104.80	105.10	0.36715	4.1369	4.1807	1497.0	-0.22146	890.04	0.60728	liquid
50.000	0.30000	54.849	0.018232	209.29	209.59	0.70368	4.0257	4.1809	1542.9	-0.20625	546.88	0.64369	liquid
75.000	0.30000	54.117	0.018479	313.93	314.24	1.0156	3.8986	4.1928	1555.5	-0.19245	377.79	0.66689	liquid
100.00	0.30000	53.202	0.018796	419.00	419.32	1.3071	3.7679	4.2152	1543.6	-0.17822	281.80	0.67920	liquid
125.00	0.30000	52.126	0.019184	524.80	525.12	1.5815	3.6414	4.2520	1512.6	-0.16223	222.10	0.68360	liquid
133.52	0.30000	51.724	0.019333	561.10	561.43	1.6717	3.6001	4.2686	1498.2	-0.15614	206.85	0.68366	liquid
133.52	0.30000	0.091634	10.913	2543.2	2724.9	6.9916	1.6711	2.2630	487.37	45.919	13.423	0.029240	vapor
150.00	0.30000	0.087551	11.422	2571.0	2761.2	7.0791	1.6026	2.1590	499.14	37.679	14.082	0.030259	vapor
175.00	0.30000	0.082154	12.172	2611.5	2814.2	7.2008	1.5608	2.0882	515.32	29.545	15.093	0.032058	vapor
200.00	0.30000	0.077480	12.907	2651.0	2865.9	7.3131	1.5436	2.0537	530.39	23.863	16.114	0.034091	vapor
225.00	0.30000	0.073363	13.631	2690.0	2917.0	7.4184	1.5390	2.0377	544.66	19.708	17.144	0.036308	vapor
250.00	0.30000	0.069695	14.348	2728.9	2967.9	7.5180	1.5415	2.0324	558.30	16.577	18.181	0.038672	vapor
275.00	0.30000	0.066398	15.061	2767.9	3018.7	7.6129	1.5483	2.0336	571.43	14.154	19.222	0.041160	vapor
300.00	0.30000	0.063413	15.770	2807.0	3069.6	7.7037	1.5580	2.0391	584.11	12.234	20.266	0.043754	vapor
